ticker,company,keywords
AMWL,American Well Corporation,"['AMWL', 'American Well']"
AMX,"América Móvil, S.A.B. de C.V.","['AMX', 'América Móvil SAB de CV']"
AN,"AutoNation, Inc.","['AN', 'AutoNation']"
ANET,"Arista Networks, Inc.","['ANET', 'Arista Networks']"
ANF,Abercrombie & Fitch Co.,"['ANF', 'Abercrombie & Fitch']"
AON,Aon plc,"['AON', 'Aon']"
AORT,"Artivion, Inc.","['AORT', 'Artivion']"
AOS,A. O. Smith Corporation,"['AOS', 'A O Smith']"
APAM,Artisan Partners Asset Management Inc.,"['APAM', 'Artisan Partners Asset Management']"
APD,"Air Products and Chemicals, Inc.","['APD', 'Air Products Chemicals']"
APG,APi Group Corporation,"['APG', 'APi']"
APH,Amphenol Corporation,"['APH', 'Amphenol']"
APLE,"Apple Hospitality REIT, Inc.","['APLE', 'Apple Hospitality REIT']"
APO,"Apollo Global Management, Inc.","['APO', 'Apollo Global Management']"
APTV,Aptiv PLC,"['APTV', 'Aptiv']"
AQN,Algonquin Power & Utilities Corp.,"['AQN', 'Algonquin Power & Utilities']"
AR,Antero Resources Corporation,"['AR', 'Antero Resources']"
ARCH,"Arch Resources, Inc.","['ARCH', 'Arch Resources']"
ARCO,Arcos Dorados Holdings Inc.,"['ARCO', 'Arcos Dorados Holdings']"
ARE,"Alexandria Real Estate Equities, Inc.","['ARE', 'Alexandria Real Estate Equities']"
ARES,Ares Management Corporation,"['ARES', 'Ares Management']"
ARI,"Apollo Commercial Real Estate Finance, Inc.","['ARI', 'Apollo Commercial Real Estate Finance']"
ARIS,"Aris Water Solutions, Inc.","['ARIS', 'Aris Water Solutions']"
ARLO,"Arlo Technologies, Inc.","['ARLO', 'Arlo Technologies']"
ARMK,Aramark,"['ARMK', 'Aramark']"
AROC,"Archrock, Inc.","['AROC', 'Archrock']"
ARR,"ARMOUR Residential REIT, Inc.","['ARR', 'ARMOUR Residential REIT']"
ARW,"Arrow Electronics, Inc.","['ARW', 'Arrow Electronics']"
ASAI,Sendas Distribuidora S.A.,"['ASAI', 'Sendas Distribuidora']"
ASAN,"Asana, Inc.","['ASAN', 'Asana']"
ASB,Associated Banc-Corp,"['ASB', 'Associated Banc-Corp']"
ASGN,ASGN Incorporated,"['ASGN', 'ASGN']"
ASH,Ashland Inc.,"['ASH', 'Ashland']"
ASIX,AdvanSix Inc.,"['ASIX', 'AdvanSix']"
ASPN,"Aspen Aerogels, Inc.","['ASPN', 'Aspen Aerogels']"
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.","['ASR', 'Grupo Aeroportuario del Sureste S A B de C V']"
ASX,"ASE Technology Holding Co., Ltd.","['ASX', 'ASE Technology Holding']"
ATEN,"A10 Networks, Inc.","['ATEN', 'A10 Networks']"
ATGE,Adtalem Global Education Inc.,"['ATGE', 'Adtalem Global Education']"
ATHM,Autohome Inc.,"['ATHM', 'Autohome']"
ATI,ATI Inc.,"['ATI', 'ATI']"
ATKR,Atkore Inc.,"['ATKR', 'Atkore']"
ATO,Atmos Energy Corporation,"['ATO', 'Atmos Energy']"
ATR,"AptarGroup, Inc.","['ATR', 'AptarGroup']"
ATUS,"Altice USA, Inc.","['ATUS', 'Altice USA']"
AU,AngloGold Ashanti plc,"['AU', 'AngloGold Ashanti']"
AUB,Atlantic Union Bankshares Corporation,"['AUB', 'Atlantic Union Bankshares']"
AVA,Avista Corporation,"['AVA', 'Avista']"
AVB,"AvalonBay Communities, Inc.","['AVB', 'AvalonBay Communities']"
AVD,American Vanguard Corporation,"['AVD', 'American Vanguard']"
AVNS,"Avanos Medical, Inc.","['AVNS', 'Avanos Medical']"
AVNT,Avient Corporation,"['AVNT', 'Avient']"
AVTR,"Avantor, Inc.","['AVTR', 'Avantor']"
AVY,Avery Dennison Corporation,"['AVY', 'Avery Dennison']"
AWI,"Armstrong World Industries, Inc.","['AWI', 'Armstrong World Industries']"
AWK,"American Water Works Company, Inc.","['AWK', 'American Water Works']"
AWR,American States Water Company,"['AWR', 'American States Water']"
AX,"Axos Financial, Inc.","['AX', 'Axos Financial']"
AXL,"American Axle & Manufacturing Holdings, Inc.","['AXL', 'American Axle & Holdings']"
AXP,American Express Company,"['AXP', 'American Express']"
AXS,AXIS Capital Holdings Limited,"['AXS', 'AXIS Capital Holdings']"
AXTA,Axalta Coating Systems Ltd.,"['AXTA', 'Axalta Coating Systems']"
AYI,"Acuity Brands, Inc.","['AYI', 'Acuity Brands']"
AYX,"Alteryx, Inc.","['AYX', 'Alteryx']"
AZEK,The AZEK Company Inc.,"['AZEK', 'AZEK']"
AZO,"AutoZone, Inc.","['AZO', 'AutoZone']"
AZUL,Azul S.A.,"['AZUL', 'Azul']"
AZZ,AZZ Inc.,"['AZZ', 'AZZ']"
B,Barnes Group Inc.,"['B', 'Barnes']"
BA,The Boeing Company,"['BA', 'Boeing']"
BABA,Alibaba Group Holding Limited,"['BABA', 'Alibaba Holding']"
BAC,Bank of America Corporation,"['BAC', 'of America']"
BAH,Booz Allen Hamilton Holding Corporation,"['BAH', 'Booz Allen Hamilton Holding']"
BAK,Braskem S.A.,"['BAK', 'Braskem']"
BALL,Ball Corporation,"['BALL', 'Ball']"
BALY,Bally's Corporation,"['BALY', ""Bally's""]"
BAM,Brookfield Asset Management Ltd.,"['BAM', 'Brookfield Asset Management']"
BANC,"Banc of California, Inc.","['BANC', 'Banc of California']"
BAP,Credicorp Ltd.,"['BAP', 'Credicorp']"
BARK,"BARK, Inc.","['BARK', 'BARK']"
BAX,Baxter International Inc.,"['BAX', 'Baxter']"
BB,BlackBerry Limited,"['BB', 'BlackBerry']"
BBD,Banco Bradesco S.A.,"['BBD', 'Banco Bradesco']"
BBN,BlackRock Taxable Municipal Bond Trust,"['BBN', 'BlackRock Taxable Municipal Bond Trust']"
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.","['BBVA', 'Banco Bilbao Vizcaya Argentaria']"
BBW,"Build-A-Bear Workshop, Inc.","['BBW', 'Build-A-Bear Workshop']"
BBWI,"Bath & Body Works, Inc.","['BBWI', 'Bath & Body Works']"
BBY,"Best Buy Co., Inc.","['BBY', 'Best Buy']"
BC,Brunswick Corporation,"['BC', 'Brunswick']"
BCC,Boise Cascade Company,"['BCC', 'Boise Cascade']"
BCE,BCE Inc.,"['BCE', 'BCE']"
BCH,Banco de Chile,"['BCH', 'Banco de Chile']"
BCO,The Brink's Company,"['BCO', ""Brink's""]"
BCS,Barclays PLC,"['BCS', 'Barclays']"
BDC,Belden Inc.,"['BDC', 'Belden']"
BDN,Brandywine Realty Trust,"['BDN', 'Brandywine Realty Trust']"
BDX,"Becton, Dickinson and Company","['BDX', 'Becton Dickinson']"
BE,Bloom Energy Corporation,"['BE', 'Bloom Energy']"
BEKE,KE Holdings Inc.,"['BEKE', 'KE Holdings']"
BEN,"Franklin Resources, Inc.","['BEN', 'Franklin Resources']"
BEP,Brookfield Renewable Partners L.P.,"['BEP', 'Brookfield Renewable Partners']"
BEPC,Brookfield Renewable Corporation,"['BEPC', 'Brookfield Renewable']"
BERY,"Berry Global Group, Inc.","['BERY', 'Berry Global']"
BFAM,Bright Horizons Family Solutions Inc.,"['BFAM', 'Bright Horizons Family Solutions']"
BFH,"Bread Financial Holdings, Inc.","['BFH', 'Bread Financial Holdings']"
BFLY,"Butterfly Network, Inc.","['BFLY', 'Butterfly Network']"
BFS,"Saul Centers, Inc.","['BFS', 'Saul Centers']"
BFX,BowFlex Inc.,"['BFX', 'BowFlex']"
BG,Bunge Global SA,"['BG', 'Bunge Global']"
BGS,"B&G Foods, Inc.","['BGS', 'B&G Foods']"
BHC,Bausch Health Companies Inc.,"['BHC', 'Bausch Health Companies']"
BHE,"Benchmark Electronics, Inc.","['BHE', 'Benchmark Electronics']"
BHK,BlackRock Core Bond Trust,"['BHK', 'BlackRock Core Bond Trust']"
BHLB,"Berkshire Hills Bancorp, Inc.","['BHLB', 'Berkshire Hills Bancorp']"
BHP,BHP Group Limited,"['BHP', 'BHP']"
BHVN,Biohaven Ltd.,"['BHVN', 'Biohaven']"
BIG,"Big Lots, Inc.","['BIG', 'Big Lots']"
BILL,"BILL Holdings, Inc.","['BILL', 'BILL Holdings']"
BIO,"Bio-Rad Laboratories, Inc.","['BIO', 'Bio-Rad Laboratories']"
BIP,Brookfield Infrastructure Partners L.P.,"['BIP', 'Brookfield Infrastructure Partners']"
BIPC,Brookfield Infrastructure Corporation,"['BIPC', 'Brookfield Infrastructure']"
BIRK,Birkenstock Holding plc,"['BIRK', 'Birkenstock Holding']"
BIT,BlackRock Multi-Sector Income Trust,"['BIT', 'BlackRock Multi-Sector Income Trust']"
BJ,"BJ's Wholesale Club Holdings, Inc.","['BJ', ""BJ's Wholesale Club Holdings""]"
BK,The Bank of New York Mellon Corporation,"['BK', 'of New York Mellon']"
BKD,Brookdale Senior Living Inc.,"['BKD', 'Brookdale Senior Living']"
BKE,"The Buckle, Inc.","['BKE', 'Buckle']"
BKH,Black Hills Corporation,"['BKH', 'Black Hills']"
BKU,"BankUnited, Inc.","['BKU', 'BankUnited']"
BLD,TopBuild Corp.,"['BLD', 'TopBuild']"
BLDR,"Builders FirstSource, Inc.","['BLDR', 'Builders FirstSource']"
BLK,"BlackRock, Inc.","['BLK', 'BlackRock']"
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.","['BLX', 'Banco Latinoamericano de Comercio Exterior S A']"
BMA,Banco Macro S.A.,"['BMA', 'Banco Macro']"
BMI,"Badger Meter, Inc.","['BMI', 'Badger Meter']"
BMO,Bank of Montreal,"['BMO', 'of Montreal']"
BMY,Bristol-Myers Squibb Company,"['BMY', 'Bristol-Myers Squibb']"
BN,Brookfield Corporation,"['BN', 'Brookfield']"
BNED,"Barnes & Noble Education, Inc.","['BNED', 'Barnes & Noble Education']"
BNL,"Broadstone Net Lease, Inc.","['BNL', 'Broadstone Net Lease']"
BNRE,Brookfield Reinsurance Ltd.,"['BNRE', 'Brookfield Reinsurance']"
BNS,The Bank of Nova Scotia,"['BNS', 'of Nova Scotia']"
BOC,Boston Omaha Corporation,"['BOC', 'Boston Omaha']"
BOH,Bank of Hawaii Corporation,"['BOH', 'of Hawaii']"
BOOT,"Boot Barn Holdings, Inc.","['BOOT', 'Boot Barn Holdings']"
BOX,"Box, Inc.","['BOX', 'Box']"
BP,BP p.l.c.,"['BP', 'BP']"
BR,"Broadridge Financial Solutions, Inc.","['BR', 'Broadridge Financial Solutions']"
BRBR,"BellRing Brands, Inc.","['BRBR', 'BellRing Brands']"
BRC,Brady Corporation,"['BRC', 'Brady']"
BRCC,BRC Inc.,"['BRCC', 'BRC']"
BRDG,Bridge Investment Group Holdings Inc.,"['BRDG', 'Bridge Investment Holdings']"
BRO,"Brown & Brown, Inc.","['BRO', 'Brown & Brown']"
BROS,Dutch Bros Inc.,"['BROS', 'Dutch Bros']"
BRSP,"BrightSpire Capital, Inc.","['BRSP', 'BrightSpire Capital']"
BRX,Brixmor Property Group Inc.,"['BRX', 'Brixmor Property']"
BSAC,Banco Santander-Chile,"['BSAC', 'Banco Santander-Chile']"
BSIG,BrightSphere Investment Group Inc.,"['BSIG', 'BrightSphere Investment']"
BSM,"Black Stone Minerals, L.P.","['BSM', 'Black Stone Minerals']"
BSX,Boston Scientific Corporation,"['BSX', 'Boston Scientific']"
BTE,Baytex Energy Corp.,"['BTE', 'Baytex Energy']"
BTI,British American Tobacco p.l.c.,"['BTI', 'British American Tobacco']"
BTU,Peabody Energy Corporation,"['BTU', 'Peabody Energy']"
BUD,Anheuser-Busch InBev SA/NV,"['BUD', 'Anheuser-Busch InBev SA/NV']"
BUR,Burford Capital Limited,"['BUR', 'Burford Capital']"
BURL,"Burlington Stores, Inc.","['BURL', 'Burlington Stores']"
BV,"BrightView Holdings, Inc.","['BV', 'BrightView Holdings']"
BVN,Compañía de Minas Buenaventura S.A.A.,"['BVN', 'Compañía de Minas Buenaventura SAA']"
BW,"Babcock & Wilcox Enterprises, Inc.","['BW', 'Babcock & Wilcox']"
BWA,BorgWarner Inc.,"['BWA', 'BorgWarner']"
BWXT,"BWX Technologies, Inc.","['BWXT', 'BWX Technologies']"
BX,Blackstone Inc.,"['BX', 'Blackstone']"
BXC,BlueLinx Holdings Inc.,"['BXC', 'BlueLinx Holdings']"
BXMT,"Blackstone Mortgage Trust, Inc.","['BXMT', 'Blackstone Mortgage Trust']"
BXP,"Boston Properties, Inc.","['BXP', 'Boston Properties']"
BY,"Byline Bancorp, Inc.","['BY', 'Byline Bancorp']"
BYD,Boyd Gaming Corporation,"['BYD', 'Boyd Gaming']"
BYON,"Beyond, Inc.","['BYON', 'Beyond']"
BZH,"Beazer Homes USA, Inc.","['BZH', 'Beazer Homes USA']"
C,Citigroup Inc.,"['C', 'Citigroup']"
CABO,"Cable One, Inc.","['CABO', 'Cable One']"
CACI,CACI International Inc,"['CACI', 'CACI']"
CADE,Cadence Bank,"['CADE', 'Cadence']"
CAE,CAE Inc.,"['CAE', 'CAE']"
CAG,"Conagra Brands, Inc.","['CAG', 'Conagra Brands']"
CAH,"Cardinal Health, Inc.","['CAH', 'Cardinal Health']"
CAL,"Caleres, Inc.","['CAL', 'Caleres']"
CALX,"Calix, Inc.","['CALX', 'Calix']"
CAPL,CrossAmerica Partners LP,"['CAPL', 'CrossAmerica Partners']"
CARR,Carrier Global Corporation,"['CARR', 'Carrier Global']"
CARS,Cars.com Inc.,"['CARS', 'Carscom']"
CAT,Caterpillar Inc.,"['CAT', 'Caterpillar']"
CATO,The Cato Corporation,"['CATO', 'Cato']"
CAVA,"CAVA Group, Inc.","['CAVA', 'CAVA']"
CB,Chubb Limited,"['CB', 'Chubb']"
CBL,"CBL & Associates Properties, Inc.","['CBL', 'CBL & Properties']"
CBRE,"CBRE Group, Inc.","['CBRE', 'CBRE']"
CBT,Cabot Corporation,"['CBT', 'Cabot']"
CBU,"Community Bank System, Inc.","['CBU', 'Community System']"
CBZ,"CBIZ, Inc.","['CBZ', 'CBIZ']"
CC,The Chemours Company,"['CC', 'Chemours']"
CCI,Crown Castle Inc.,"['CCI', 'Crown Castle']"
CCJ,Cameco Corporation,"['CCJ', 'Cameco']"
CCK,"Crown Holdings, Inc.","['CCK', 'Crown Holdings']"
CCL,Carnival Corporation & plc,"['CCL', 'Carnival &']"
CCRD,CoreCard Corporation,"['CCRD', 'CoreCard']"
CCS,"Century Communities, Inc.","['CCS', 'Century Communities']"
CCU,Compañía Cervecerías Unidas S.A.,"['CCU', 'Compañía Cervecerías Unidas']"
CDAY,Ceridian HCM Holding Inc.,"['CDAY', 'Ceridian HCM Holding']"
CDE,"Coeur Mining, Inc.","['CDE', 'Coeur Mining']"
CDP,COPT Defense Properties,"['CDP', 'COPT Defense Properties']"
CDRE,"Cadre Holdings, Inc.","['CDRE', 'Cadre Holdings']"
CE,Celanese Corporation,"['CE', 'Celanese']"
CEIX,CONSOL Energy Inc.,"['CEIX', 'CONSOL Energy']"
CEPU,Central Puerto S.A.,"['CEPU', 'Central Puerto']"
CF,"CF Industries Holdings, Inc.","['CF', 'CF Industries Holdings']"
CFG,"Citizens Financial Group, Inc.","['CFG', 'Citizens Financial']"
CFR,"Cullen/Frost Bankers, Inc.","['CFR', 'Cullen/Frost Bankers']"
CHCT,Community Healthcare Trust Incorporated,"['CHCT', 'Community Healthcare Trust']"
CHD,"Church & Dwight Co., Inc.","['CHD', 'Church & Dwight']"
CHE,Chemed Corporation,"['CHE', 'Chemed']"
CHGG,"Chegg, Inc.","['CHGG', 'Chegg']"
CHH,"Choice Hotels International, Inc.","['CHH', 'Choice']"
CHPT,"ChargePoint Holdings, Inc.","['CHPT', 'ChargePoint Holdings']"
CHS,"Chico's FAS, Inc.","['CHS', ""Chico's FAS""]"
CHT,"Chunghwa Telecom Co., Ltd.","['CHT', 'Chunghwa Telecom']"
CHWY,"Chewy, Inc.","['CHWY', 'Chewy']"
CI,The Cigna Group,"['CI', 'Cigna']"
CIEN,Ciena Corporation,"['CIEN', 'Ciena']"
CIM,Chimera Investment Corporation,"['CIM', 'Chimera Investment']"
CINT,CI&T Inc,"['CINT', 'CI&T']"
CIO,"City Office REIT, Inc.","['CIO', 'City Office REIT']"
CIVI,"Civitas Resources, Inc.","['CIVI', 'Civitas Resources']"
CL,Colgate-Palmolive Company,"['CL', 'Colgate-Palmolive']"
CLB,Core Laboratories Inc.,"['CLB', 'Core Laboratories']"
CLDT,Chatham Lodging Trust,"['CLDT', 'Chatham Lodging Trust']"
CLF,Cleveland-Cliffs Inc.,"['CLF', 'Cleveland-Cliffs']"
CLH,"Clean Harbors, Inc.","['CLH', 'Clean Harbors']"
CLS,Celestica Inc.,"['CLS', 'Celestica']"
CLVT,Clarivate Plc,"['CLVT', 'Clarivate']"
CLW,Clearwater Paper Corporation,"['CLW', 'Clearwater Paper']"
CLX,The Clorox Company,"['CLX', 'Clorox']"
CM,Canadian Imperial Bank of Commerce,"['CM', 'Canadian Imperial of Commerce']"
CMA,Comerica Incorporated,"['CMA', 'Comerica']"
CMC,Commercial Metals Company,"['CMC', 'Commercial Metals']"
CMG,"Chipotle Mexican Grill, Inc.","['CMG', 'Chipotle Mexican Grill']"
CMI,Cummins Inc.,"['CMI', 'Cummins']"
CMP,"Compass Minerals International, Inc.","['CMP', 'Compass Minerals']"
CMRE,Costamare Inc.,"['CMRE', 'Costamare']"
CMS,CMS Energy Corporation,"['CMS', 'CMS Energy']"
CNA,CNA Financial Corporation,"['CNA', 'CNA Financial']"
CNC,Centene Corporation,"['CNC', 'Centene']"
CNHI,CNH Industrial N.V.,"['CNHI', 'CNH Industrial NV']"
CNI,Canadian National Railway Company,"['CNI', 'Canadian National Railway']"
CNK,"Cinemark Holdings, Inc.","['CNK', 'Cinemark Holdings']"
CNM,"Core & Main, Inc.","['CNM', 'Core & Main']"
CNMD,CONMED Corporation,"['CNMD', 'CONMED']"
CNNE,"Cannae Holdings, Inc.","['CNNE', 'Cannae Holdings']"
CNO,"CNO Financial Group, Inc.","['CNO', 'CNO Financial']"
CNP,"CenterPoint Energy, Inc.","['CNP', 'CenterPoint Energy']"
CNS,"Cohen & Steers, Inc.","['CNS', 'Cohen & Steers']"
CNX,CNX Resources Corporation,"['CNX', 'CNX Resources']"
CODI,Compass Diversified,"['CODI', 'Compass Diversified']"
COF,Capital One Financial Corporation,"['COF', 'Capital One Financial']"
COHR,Coherent Corp.,"['COHR', 'Coherent']"
COLD,"Americold Realty Trust, Inc.","['COLD', 'Americold Realty Trust']"
COMP,"Compass, Inc.","['COMP', 'Compass']"
COOK,"Traeger, Inc.","['COOK', 'Traeger']"
COP,ConocoPhillips,"['COP', 'ConocoPhillips']"
COR,"Cencora, Inc.","['COR', 'Cencora']"
COTY,Coty Inc.,"['COTY', 'Coty']"
COUR,"Coursera, Inc.","['COUR', 'Coursera']"
CP,Canadian Pacific Kansas City Limited,"['CP', 'Canadian Pacific Kansas City']"
CPA,"Copa Holdings, S.A.","['CPA', 'Copa Holdings']"
CPB,Campbell Soup Company,"['CPB', 'Campbell Soup']"
CPE,Callon Petroleum Company,"['CPE', 'Callon Petroleum']"
CPF,Central Pacific Financial Corp.,"['CPF', 'Central Pacific Financial']"
CPG,Crescent Point Energy Corp.,"['CPG', 'Crescent Point Energy']"
CPK,Chesapeake Utilities Corporation,"['CPK', 'Chesapeake Utilities']"
CPNG,"Coupang, Inc.","['CPNG', 'Coupang']"
CPRI,Capri Holdings Limited,"['CPRI', 'Capri Holdings']"
CPS,Cooper-Standard Holdings Inc.,"['CPS', 'Cooper-Standard Holdings']"
CPT,Camden Property Trust,"['CPT', 'Camden Property Trust']"
CR,Crane Company,"['CR', 'Crane']"
CRC,California Resources Corporation,"['CRC', 'California Resources']"
CRGY,Crescent Energy Company,"['CRGY', 'Crescent Energy']"
CRH,CRH plc,"['CRH', 'CRH']"
CRI,"Carter's, Inc.","['CRI', ""Carter's""]"
CRK,"Comstock Resources, Inc.","['CRK', 'Comstock Resources']"
CRL,"Charles River Laboratories International, Inc.","['CRL', 'Charles River Laboratories']"
CRM,"Salesforce, Inc.","['CRM', 'Salesforce']"
CRS,Carpenter Technology Corporation,"['CRS', 'Carpenter Technology']"
CSAN,Cosan S.A.,"['CSAN', 'Cosan']"
CSL,Carlisle Companies Incorporated,"['CSL', 'Carlisle Companies']"
CSR,Centerspace,"['CSR', 'Centerspace']"
CSTM,Constellium SE,"['CSTM', 'Constellium SE']"
CSV,"Carriage Services, Inc.","['CSV', 'Carriage']"
CTLT,"Catalent, Inc.","['CTLT', 'Catalent']"
CTO,"CTO Realty Growth, Inc.","['CTO', 'CTO Realty Growth']"
CTOS,"Custom Truck One Source, Inc.","['CTOS', 'Custom Truck One Source']"
CTRA,Coterra Energy Inc.,"['CTRA', 'Coterra Energy']"
CTRE,"CareTrust REIT, Inc.","['CTRE', 'CareTrust REIT']"
CTS,CTS Corporation,"['CTS', 'CTS']"
CTVA,"Corteva, Inc.","['CTVA', 'Corteva']"
CUBE,CubeSmart,"['CUBE', 'CubeSmart']"
CUBI,"Customers Bancorp, Inc.","['CUBI', 'Customers Bancorp']"
CUK,Carnival Corporation & plc,"['CUK', 'Carnival &']"
CULP,"Culp, Inc.","['CULP', 'Culp']"
CUZ,Cousins Properties Incorporated,"['CUZ', 'Cousins Properties']"
CVE,Cenovus Energy Inc.,"['CVE', 'Cenovus Energy']"
CVI,"CVR Energy, Inc.","['CVI', 'CVR Energy']"
CVNA,Carvana Co.,"['CVNA', 'Carvana']"
CVS,CVS Health Corporation,"['CVS', 'CVS Health']"
CVX,Chevron Corporation,"['CVX', 'Chevron']"
CW,Curtiss-Wright Corporation,"['CW', 'Curtiss-Wright']"
CWAN,"Clearwater Analytics Holdings, Inc.","['CWAN', 'Clearwater Analytics Holdings']"
