Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.40,-0.32,-11.765%,86751778.00,United States,,16010,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.5034,0.0034,0.68%,61486815.00,Canada,,572759,,
ASXC,Asensus Surgical Inc. Common Stock,$0.31,0.0278,9.851%,81938192.00,United States,,2322490,Health Care,Medical/Dental Instruments
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$10.86,-0.01,-0.092%,0.00,,2022,2339,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$4.85,-0.24,-4.715%,132955189.00,United States,,716494,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.0815,-0.0065,-7.386%,5602550.00,United States,1997,13771355,Finance,Investment Bankers/Brokers/Service
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$22.15,0.33,1.512%,,United States,,599,,
AUMN,Golden Minerals Company Common Stock,$0.4856,-0.0344,-6.615%,6839521.00,United States,,162449,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.70,-0.0301,-4.123%,9289000.00,,2022,17031,,
AWX,Avalon Holdings Corporation Common Stock,$2.19,0.00,0.00%,8539754.00,United States,1998,1299,Utilities,Environmental Services
AZTR,Azitra Inc Common Stock,$1.23,-0.20,-13.986%,14880101.00,,2023,7075,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.23,0.00,0.00%,0.00,,2021,20,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$9.59,4.315,81.801%,157818439.00,United States,,1051842,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$16.17,0.08,0.497%,0.00,United States,1972,22467,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.855,-0.35,-1.508%,,United States,,1042,,
BDL,Flanigan's Enterprises Inc. Common Stock,$25.45,-0.4849,-1.87%,47302566.00,United States,1972,593,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$4.31,-0.74,-14.653%,0.00,,2023,286092,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$4.27,0.19,4.657%,46841900.00,Canada,,52165,,
BHB,Bar Harbor Bankshares Inc. Common Stock,$29.79,0.56,1.916%,451496376.00,United States,1997,237718,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$13.65,-0.33,-2.361%,52958642.00,,2022,12756,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$10.53,-0.02,-0.19%,0.00,,2021,17103,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$12.13,0.12,0.999%,41915203.00,United States,,10667,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$10.65,0.00,0.00%,0.00,,2021,100,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$2.62,-0.25,-8.711%,31099204.00,,2018,207202,Finance,Major Banks
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$0.4608,0.0652,16.481%,2998959.00,,2020,629627,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$3.10,-0.05,-1.587%,59496660.00,United States,,372232,Finance,Commercial Banks
BRN,Barnwell Industries Inc. Common Stock,$2.21,-0.06,-2.643%,22079619.00,United States,1965,18524,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$3.15,-0.06,-1.869%,4096195825.00,Canada,,16200555,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$0.35,0.05,16.667%,11228402.00,,2021,1840767,Consumer Staples,Beverages (Production/Distribution)
BURU,Nuburu Inc. Common Stock,$0.1524,-0.0006,-0.392%,5420938.00,United States,2020,402289,Technology,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$2.025,0.015,0.746%,8248611.00,Israel,,25381,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$0.2677,-0.0074,-2.69%,75108864.00,United States,,529512,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$5.93,0.23,4.035%,49140635.00,United States,2022,1308,Health Care,Managed Health Care
CEI,Camber Energy Inc. Common Stock,$0.2194,-0.0006,-0.273%,23592356.00,United States,,3261267,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$37.7557,-0.0093,-0.025%,9137830844.00,United States,1951,29155,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.25,0.07,0.688%,72094144.00,United States,1999,22187,Finance,Investment Bankers/Brokers/Service
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$11.12,0.00,0.00%,0.00,,2021,616,Finance,Blank Checks
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.05,-0.005,-0.164%,0.00,United States,,48752,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$20.49,-1.52,-6.906%,252308881.00,United States,1998,25368,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$12.66,0.05,0.397%,24996246.00,United States,2003,943,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$2.00,-0.30,-13.043%,0.00,,2021,323074,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.23,-0.08,-1.094%,0.00,United States,2003,1535494,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.39,-0.29,-2.287%,237764100.00,Canada,,168479,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$18.39,-0.17,-0.916%,166258547.00,United States,1996,130059,Industrials,Plastic Products
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$7.97,-0.01,-0.125%,44873252.00,China,2016,2190,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$6.72,-0.12,-1.754%,12239452.00,United States,,1206,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.111,0.0011,1.001%,3657636.00,China,,569258,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Common Units,$50.08,-3.06,-5.758%,24240679280.00,United States,2007,1084682,Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.17,-0.09,-1.24%,0.00,United States,2003,691814,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$17.73,0.16,0.911%,166664269.00,United States,2021,532666,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.225,-0.0106,-4.499%,10719546.00,,2022,121518,Technology,EDP Services
CVM,Cel-Sci Corporation Common Stock,$2.74,-0.09,-3.18%,129492666.00,United States,1997,609678,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$17.50,0.08,0.459%,16907310.00,United States,1930,1422,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.51,-0.09,-3.462%,31807739.00,United States,2022,31929,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.4225,0.0074,1.783%,108402316.00,Canada,,3788822,Health Care,Biotechnology: Pharmaceutical Preparations
DC,Dakota Gold Corp. Common Stock,$2.75,-0.03,-1.079%,238535748.00,United States,2022,892750,Basic Materials,Precious Metals
DDC,DDC Enterprise Limited Class A Ordinary Shares,$4.35,-1.48,-25.386%,86665346.00,,2023,287609,Basic Materials,Metal Mining
DHY,Credit Suisse High Yield Bond Fund Common Stock,$1.94,-0.03,-1.523%,0.00,United States,1998,251301,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$188.36,-1.64,-0.863%,118734986.00,United States,1999,1333,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$7.03,-0.02,-0.284%,49280441.00,United States,2000,16944,Consumer Staples,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.49,-0.02,-0.307%,404267642.00,United States,1988,145020,Finance,Finance/Investors Services
DMYY,dMY Squared Technology Group Inc. Class A Common Stock,$10.65,-0.15,-1.389%,0.00,,2022,1263,Finance,Blank Checks
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.76,-0.08,-4.348%,1563946921.00,Canada,,11290255,,
DPSI,DecisionPoint Systems Inc. Common Stock,$5.82,-0.29,-4.746%,44550965.00,,2022,5106,Technology,Retail: Computer Software & Peripheral Equipment
DSS,DSS Inc. Common Stock,$0.13,-0.0043,-3.202%,18234353.00,United States,,134656,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.336,0.0123,3.80%,729721.00,China,,18051,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.51,0.01,0.154%,0.00,United States,2003,215923,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.15,0.06,0.742%,0.00,United States,1986,35605,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$22.2201,-0.3999,-1.768%,,United States,,231,,
EFSH,1847 Holdings LLC Common Shares,$0.5199,0.0048,0.932%,1646601.00,,2022,42513,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.99,0.04,0.402%,0.00,United States,2002,303903,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$5.03,0.13,2.653%,134301000.00,United States,,43678,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$14.49,-0.01,-0.069%,186196500.00,Israel,,728,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$10.35,-0.04,-0.385%,88820357.00,United States,2011,17673,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.67,0.01,0.602%,187380747.00,Canada,,150106,Basic Materials,Metal Mining
ENSV,Enservco Corporation Common Stock,$0.2659,-0.0065,-2.386%,7069146.00,United States,,85816,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.55,0.03,0.315%,0.00,United States,2002,23238,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$9.15,-0.01,-0.109%,209464362.00,United States,2022,156482,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$6.04,0.11,1.855%,201919936.00,United States,,873414,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$4.70,-0.17,-3.491%,1471010385.00,Canada,,4220526,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$9.35,-0.03,-0.32%,0.00,United States,2003,45256,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$9.35,-0.17,-1.786%,0.00,,2004,22812,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$18.00,0.11,0.615%,48719394.00,United States,1960,9393,Technology,Industrial Machinery/Components
EU,enCore Energy Corp. Common Shares,$4.03,-0.04,-0.983%,614790045.00,,2023,2344446,Basic Materials,Other Metals and Minerals
EVBN,Evans Bancorp Inc. Common Stock,$30.50,0.50,1.667%,167249526.00,United States,,53149,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$10.79,-0.01,-0.093%,0.00,,2022,5514,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$23.60,-1.07,-4.337%,298716292.00,United States,1999,57181,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.02,-0.09,-0.988%,0.00,United States,2002,119277,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.64,0.12,1.261%,0.00,United States,2003,514174,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.76,-0.01,-0.361%,0.00,United States,1986,640033,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$6.22,-0.01,-0.161%,0.00,United States,1992,21711,Finance,Investment Managers
FEN,First Trust Energy Income and Growth Fund,$14.55,-0.23,-1.556%,0.00,United States,2004,23850,Finance,Finance/Investors Services
FGH,FG Group Holdings Inc. Common Stock,$1.34,-0.02,-1.471%,26408967.00,United States,,24701,Consumer Discretionary,Industrial Machinery/Components
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.3001,-0.0679,-18.451%,1919690.00,,2022,1990865,Technology,Retail: Computer Software & Peripheral Equipment
FRD,Friedman Industries Inc. Common Stock,$13.71,0.31,2.313%,101115116.00,United States,1975,32258,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$1.62,0.047,2.988%,20145562.00,Canada,2002,9771,Industrials,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$2.49,-0.07,-2.734%,257541579.00,United States,,1020553,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.30,-0.04,-0.631%,254553856.00,United States,2003,169173,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.4462,-0.0106,-2.32%,64943272.00,,2020,71616,,
GAU,Galiano Gold Inc.,$0.64,0.0023,0.361%,143971916.00,Canada,,94520,,
GBR,New Concept Energy Inc Common Stock,$0.985,-0.015,-1.50%,5054955.00,United States,1993,6308,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$16.65,0.15,0.909%,244050738.00,United States,,71801,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$3.73,-0.03,-0.798%,0.00,United States,2005,355347,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$22.03,-0.1774,-0.799%,,United States,,5091,,
GLDG,GoldMining Inc. Common Shares,$1.03,-0.01,-0.962%,182143429.00,,,1859763,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$4.67,-0.01,-0.214%,0.00,United States,2006,133076,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$5.8798,-0.0392,-0.662%,0.00,United States,2005,44322,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$13.50,-0.09,-0.662%,80580299.00,United States,2004,15945,Finance,Finance/Investors Services
GLU^A,The Gabelli Global Utility and Income Trust Series A Cumulative Puttable and Callable Preferred Shares,$45.70,0.00,0.00%,,United States,,18,,
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.05,-0.56,-1.107%,,United States,,415,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.18,-0.02,-0.385%,65835640.00,United States,2004,23039,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.757,0.167,28.305%,38531343.00,Singapore,2022,13615850,Real Estate,Other Consumer Services
GORO,Gold Resource Corporation Common Stock,$0.32,-0.0119,-3.585%,28382092.00,United States,,599141,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.2506,0.4506,5.12%,0.00,United States,,21892,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.9699,-0.0101,-1.031%,754045748.00,,2022,36514,,
GROY,Gold Royalty Corp. Common Shares,$1.48,-0.05,-3.268%,214556022.00,Canada,2021,1018097,,
GSAT,Globalstar Inc. Common Stock,$1.67,0.08,5.031%,3173000000.00,United States,2006,12840964,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$5.76,-0.12,-2.041%,191740637.00,Canada,,358594,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$1.80,0.03,1.695%,0.00,,2022,19900,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.00,0.0416,0.38%,0.00,United States,2007,16389,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.70,0.02,1.19%,18540800.00,United States,,128005,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$59.00,0.00,0.00%,,United States,,47,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.21,0.02,0.477%,0.00,United States,1985,72074,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.72,-0.01,-0.578%,476566083.00,Canada,2022,3933199,,
IBIO,iBio Inc. Common Stock,$1.29,0.02,1.575%,1812496.00,United States,,136929,Health Care,Biotechnology: Pharmaceutical Preparations
ID,PARTS iD Inc. Class A Common Stock,$0.0962,-0.0014,-1.434%,4130112.00,United States,2017,502593,Miscellaneous,Diversified Commercial Services
IDR,Idaho Strategic Resources Inc. Common Stock,$5.78,-0.35,-5.71%,70842703.00,,2022,24956,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$10.97,-0.06,-0.544%,1138509438.00,Canada,2022,1618598,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.28,-0.0067,-2.337%,17845643.00,United States,,138712,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.33,-0.08,-5.674%,11977722.00,United States,1999,17378,Real Estate,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$55.23,-1.24,-2.196%,31297024927.00,Canada,1929,675520,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.59,-0.02,-0.766%,26262600.00,,2019,28307,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$10.35,-0.01,-0.097%,219249494.00,United States,,135480,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.42,0.4257,10.658%,18006006.00,,2022,18099,Technology,EDP Services
INTT,inTest Corporation Common Stock,$12.75,0.36,2.906%,155056728.00,United States,1997,198632,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.3476,0.0186,5.653%,47962431.00,United States,,404953,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$12.25,-1.74,-12.437%,51063072.00,United States,1987,8836,Real Estate,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$15.20,-0.06,-0.393%,57937065.00,United States,,5659,Consumer Discretionary,Publishing
ITP,IT Tech Packaging Inc. Common Stock,$0.30,0.0039,1.317%,3019776.00,China,,17084,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.9896,0.0494,5.254%,68062240.00,,,64570,,
JOB,GEE Group Inc. Common Stock,$0.5342,-0.0008,-0.15%,60442449.00,United States,1968,215358,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$10.84,-0.02,-0.184%,0.00,,2021,5287,Finance,Blank Checks
KIQ,Kelso Technologies Inc Ordinary Shares,$0.1398,-0.0003,-0.214%,7593948.00,Canada,,88837,Industrials,Railroads
KNW,Know Labs Inc. Common Stock,$0.8375,-0.0663,-7.336%,43850213.00,,2022,703551,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.2772,-0.0087,-3.043%,35449632.00,United States,,674708,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$0.9101,-0.0552,-5.718%,159255369.00,United States,,2958411,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$52.44,-2.17,-3.974%,814207300.00,United States,2014,176455,,
LGL,LGL Group Inc. (The) Common Stock,$5.07,-0.13,-2.50%,27139391.00,United States,1946,2566,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$170.20,-1.34,-0.781%,40550978193.00,United States,2001,1925423,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.45,0.015,3.448%,52708601.00,United States,,1140129,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$0.7581,-0.0913,-10.749%,45010718.00,United States,2022,331563,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$1.12,0.10,9.804%,10471378.00,,2020,52540,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$9.32,-0.05,-0.534%,250437403.00,United Kingdom,2012,853738,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$10.47,-0.33,-3.056%,1077871978.00,Canada,,2780659,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$1.03,0.1424,16.043%,14639916.00,,2022,422117,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.12,0.05,4.673%,44109474.00,,2022,69308,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$8.14,0.17,2.133%,94416983.00,United States,,12488,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$0.1693,0.0092,5.746%,5924126.00,,2023,186025,Consumer Discretionary,Other Specialty Stores
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.099,-0.0024,-2.367%,7389250.00,United States,2020,300072,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$0.95,0.00,0.00%,10151489.00,United States,2021,10352,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.579,-0.0339,-5.531%,41136932.00,United States,2015,182369,Health Care,Industrial Specialties
MPTI,M-tron Industries Inc. Common Stock,$26.87,-0.85,-3.066%,74909798.00,,2022,58128,,
MPU,Mega Matrix Corp. Common Stock,$1.44,0.00,0.00%,45683469.00,United States,1998,14567,Consumer Discretionary,Diversified Commercial Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$0.5554,-0.0102,-1.803%,9979844.00,,2021,70848,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.55,-0.0001,-0.018%,11573459.00,United States,1994,2799,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$3.22,-0.30,-8.523%,170143277.00,,,1839759,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.247,0.0266,12.069%,53664338.00,United States,2017,2424824,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.2349,-0.0051,-2.125%,5825520.00,,2023,59613,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$10.15,-0.03,-0.295%,21360675.00,United States,2003,1128,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$4.565,0.575,14.411%,218285436.00,,2017,39630,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$5.18,0.48,10.213%,137353932.00,United States,2017,1760852,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.3172,0.0112,3.66%,168091579.00,Canada,,1421685,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.32,-0.03,-0.29%,0.00,United States,2002,117234,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$0.2663,-0.0223,-7.727%,1738753.00,United States,2007,25612,,
NCL,Northann Corp. Common Stock,$15.92,4.72,42.143%,340369600.00,,2023,970045,,
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$69.20,0.00,0.00%,8084013.00,United States,,5,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$1.85,-0.015,-0.804%,316173107.00,,2021,309350,Basic Materials,Precious Metals
NFGC,New Found Gold Corp Common Shares,$3.55,-0.02,-0.56%,663399193.00,,2021,263391,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$3.44,-0.25,-6.775%,1149583153.00,Canada,2003,4301263,Basic Materials,Precious Metals
NGD,New Gold Inc.,$1.44,-0.07,-4.636%,985690080.00,Canada,,21814808,,
NHC,National HealthCare Corporation Common Stock,$94.21,2.50,2.726%,1443726798.00,United States,1986,2661977,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$7.51,-0.04,-0.53%,0.00,United States,,277673,Finance,Trusts Except Educational Religious and Charitable
